index,theta,thetaVelocity,thetaAcceleration,phi,phiVelocity,phiAcceleration,x,y,z
0.820,-0.125351,0.859787,0.173500,1.756242,0.293111,0.039944,0.230524,-1.228797,-9.921538
0.830,-0.082141,0.866794,0.117810,1.770970,0.295699,0.062136,0.163145,-0.804099,-9.966284
0.840,-0.038664,0.870998,0.061520,1.785885,0.300553,0.134741,0.082501,-0.377632,-9.992527
0.850,0.004939,0.872376,0.004916,1.801398,0.311860,-1.141998,-0.011289,0.048083,-9.999878
0.860,0.048526,0.870923,-0.051711,1.816607,0.301354,-0.108476,-0.118037,0.470485,-9.988229
0.870,0.091955,0.866645,-0.108076,1.831558,0.297768,-0.056075,-0.236740,0.887209,-9.957751
0.880,0.135086,0.859564,-0.163889,1.846377,0.295581,-0.037434,-0.366459,1.295935,-9.908898
0.890,0.177779,0.849716,-0.218873,1.861108,0.294018,-0.027835,-0.506218,1.694443,-9.842388
0.900,0.219899,0.837151,-0.272763,1.875771,0.292813,-0.021951,-0.654981,2.080652,-9.759195
0.910,0.261310,0.821930,-0.325310,1.890382,0.291841,-0.017950,-0.811656,2.452654,-9.660523
0.920,0.301883,0.804129,-0.376286,1.904949,0.291034,-0.015039,-0.975113,2.808734,-9.547783
0.930,0.341490,0.783831,-0.425483,1.919480,0.290351,-0.012812,-1.144195,3.147390,-9.422566
0.940,0.380010,0.761132,-0.472721,1.933980,0.289765,-0.011048,-1.317736,3.467344,-9.286608
0.950,0.417326,0.736133,-0.517844,1.948453,0.289257,-0.009608,-1.494579,3.767551,-9.141761
0.960,0.453325,0.708945,-0.560720,1.962902,0.288813,-0.008408,-1.673589,4.047193,-8.989957
0.970,0.487903,0.679684,-0.601246,1.977331,0.288424,-0.007390,-1.853668,4.305678,-8.833179
0.980,0.520958,0.648469,-0.639344,1.991741,0.288082,-0.006512,-2.033765,4.542628,-8.673427
0.990,0.552397,0.615423,-0.674957,2.006136,0.287779,-0.005748,-2.212883,4.757863,-8.512690
